album_id,album_name,release_date,total_tracks,url
0HiZ8fNXwJOQcrf5iflrdz,Endless Summer Vacation,2023-03-10,13,https://open.spotify.com/album/0HiZ8fNXwJOQcrf5iflrdz
1nrVofqDRs7cpWXJ49qTnP,SOS,2022-12-08,23,https://open.spotify.com/album/1nrVofqDRs7cpWXJ49qTnP
4kS7bSuU0Jm9LYMosFU2x5,MAÑANA SERÁ BONITO,2023-02-24,17,https://open.spotify.com/album/4kS7bSuU0Jm9LYMosFU2x5
6cVfHBcp3AdpYY0bBglkLN,Boy's a liar Pt. 2,2023-02-03,2,https://open.spotify.com/album/6cVfHBcp3AdpYY0bBglkLN
50uChhk7AKkzDKytDixjYW,RR,2023-03-24,3,https://open.spotify.com/album/50uChhk7AKkzDKytDixjYW
35dut3ICqF3NEDkjxfzJJ1,Starboy (Deluxe),2023-03-14,21,https://open.spotify.com/album/35dut3ICqF3NEDkjxfzJJ1
5r36AJ6VOJtp00oxSkBZ5h,Harry's House,2022-05-20,13,https://open.spotify.com/album/5r36AJ6VOJtp00oxSkBZ5h
6aBVGuOUEuX18rHxyDWbti,La Bebe (Remix),2023-03-17,2,https://open.spotify.com/album/6aBVGuOUEuX18rHxyDWbti
7txGsnDSqVMoRl6RQ9XyZP,HEROES & VILLAINS,2022-12-02,15,https://open.spotify.com/album/7txGsnDSqVMoRl6RQ9XyZP
6BGN5CVd7koJApotl5Bj8u,3MEN2 KBRN,2023-03-17,18,https://open.spotify.com/album/6BGN5CVd7koJApotl5Bj8u
1gi2iwr1l8IUyHYHxi01pg,"Shakira: Bzrp Music Sessions, Vol. 53",2023-01-11,1,https://open.spotify.com/album/1gi2iwr1l8IUyHYHxi01pg
3Mm1P5CEEAiuJqBclr2EyU,Ella Baila Sola,2023-03-16,1,https://open.spotify.com/album/3Mm1P5CEEAiuJqBclr2EyU
5xefnzEqKIWnmTWYFzekGZ,Resistencia,2023-01-13,17,https://open.spotify.com/album/5xefnzEqKIWnmTWYFzekGZ
4xc3Lc9yASZgEJGH7acWMB,FACE,2023-03-24,6,https://open.spotify.com/album/4xc3Lc9yASZgEJGH7acWMB
2b2GHWESCWEuHiCZ2Skedp,Calm Down (with Selena Gomez),2022-08-25,1,https://open.spotify.com/album/2b2GHWESCWEuHiCZ2Skedp
1Uauz6ql2dIPvIOH4JiuhD,All Of The Girls You Loved Before,2019-08-23,1,https://open.spotify.com/album/1Uauz6ql2dIPvIOH4JiuhD
151w1FgRZfnKZA9FEcg9Z3,Midnights,2022-10-21,13,https://open.spotify.com/album/151w1FgRZfnKZA9FEcg9Z3
6dhAJ4oigNFSv4paZnZHmW,Eyes Closed (Piano Version),2023-03-23,2,https://open.spotify.com/album/6dhAJ4oigNFSv4paZnZHmW
3Uq1jNGnD412ZvCb6j2DKV,Gloria,2023-01-27,13,https://open.spotify.com/album/3Uq1jNGnD412ZvCb6j2DKV
4AdZV63ycxFLF6Hcol0QnB,Starboy,2016-11-24,18,https://open.spotify.com/album/4AdZV63ycxFLF6Hcol0QnB
7M842DMhYVALrXsw3ty7B3,I'm Good (Blue),2022-08-26,2,https://open.spotify.com/album/7M842DMhYVALrXsw3ty7B3
7ubO2LZJZFpyhiWMZkRwcH,2000,2023-03-17,15,https://open.spotify.com/album/7ubO2LZJZFpyhiWMZkRwcH
6i7mF7whyRJuLJ4ogbH2wh,One Thing At A Time,2023-03-03,36,https://open.spotify.com/album/6i7mF7whyRJuLJ4ogbH2wh
0OuoHWf8yB0TPzoBWw1R1S,Here With Me,2022-09-22,1,https://open.spotify.com/album/0OuoHWf8yB0TPzoBWw1R1S
781fDX4OibkZA9fj56Ycbz,Set Me Free Pt.2,2023-03-17,1,https://open.spotify.com/album/781fDX4OibkZA9fj56Ycbz
7ARtQpvnPN2ucbmVHngLOs,Until I Found You (Em Beihold Version),2022-04-22,1,https://open.spotify.com/album/7ARtQpvnPN2ucbmVHngLOs
3Bj4v1YmWsctoEsSkEPg63,"Arcángel: Bzrp Music Sessions, Vol. 54",2023-03-22,1,https://open.spotify.com/album/3Bj4v1YmWsctoEsSkEPg63
2OXBosbXT7Qs3J6vBd6IkI,PRC,2023-01-23,1,https://open.spotify.com/album/2OXBosbXT7Qs3J6vBd6IkI
0s2sLResjP92wRavoj9k0O,AMG,2022-11-24,1,https://open.spotify.com/album/0s2sLResjP92wRavoj9k0O
1kjfMVBNhsDeRyAu9zbLfF,OzuTochi,2022-10-07,18,https://open.spotify.com/album/1kjfMVBNhsDeRyAu9zbLfF
